CODGEO,LIBGEO,POPULATION
01001,L'Abergement-Clémenciat,767
01002,L'Abergement-de-Varey,241
01004,Ambérieu-en-Bugey,14127
01005,Ambérieux-en-Dombes,1619
01006,Ambléon,109
01007,Ambronay,2615
01008,Ambutrix,747
01009,Andert-et-Condon,342
01010,Anglefort,1133
01011,Apremont,390
01012,Aranc,327
01013,Arandas,153
01014,Arbent,3392
01015,Arboys en Bugey,637
01016,Arbigny,453
01017,Argis,433
01019,Armix,24
01021,Ars-sur-Formans,1370
01022,Artemare,1210
01023,Asnières-sur-Saône,64
01024,Attignat,3328
01025,Bâgé-la-Ville,3177
01026,Bâgé-le-Châtel,902
01027,Balan,2997
01028,Baneins,597
01029,Beaupont,682
01030,Beauregard,889
01031,Bellignat,3612
01032,Béligneux,3300
01033,Bellegarde-sur-Valserine,11809
01034,Belley,9058
01035,Belleydoux,315
01036,Belmont-Luthézieu,572
01037,Bénonces,288
01038,Bény,747
01039,Béon,475
01040,Béréziat,484
01041,Bettant,753
01042,Bey,271
01043,Beynost,4529
01044,Billiat,601
01045,Birieux,287
01046,Biziat,838
01047,Blyes,1000
01049,La Boisse,2937
01050,Boissey,331
01051,Bolozon,89
01052,Bouligneux,309
01053,Bourg-en-Bresse,40819
01054,Bourg-Saint-Christophe,1284
01056,Boyeux-Saint-Jérôme,362
01057,Boz,516
01058,Brégnier-Cordon,856
01059,Brénaz,100
01060,Brénod,536
01061,Brens,1171
01062,Bressolles,871
01063,Brion,515
01064,Briord,1000
01065,Buellas,1771
01066,La Burbanche,71
01067,Ceignes,256
01068,Cerdon,779
01069,Certines,1552
01071,Cessy,4817
01072,Ceyzériat,3118
01073,Ceyzérieu,1016
01074,Chalamont,2407
01075,Chaleins,1270
01076,Chaley,144
01077,Challes-la-Montagne,189
01078,Challex,1370
01079,Champagne-en-Valromey,819
01080,Champdor-Corcelles,663
01081,Champfromier,735
01082,Chanay,640
01083,Chaneins,881
01084,Chanoz-Châtenay,804
01085,La Chapelle-du-Châtelard,383
01087,Charix,285
01088,Charnoz-sur-Ain,932
01089,Château-Gaillard,2053
01090,Châtenay,334
01091,Châtillon-en-Michaille,3448
01092,Châtillon-la-Palud,1566
01093,Châtillon-sur-Chalaronne,4914
01094,Chavannes-sur-Reyssouze,748
01095,Nivigne et Suran,800
01096,Chaveyriat,1003
01097,Chavornay,220
01098,Chazey-Bons,1053
01099,Chazey-sur-Ain,1516
01100,Cheignieu-la-Balme,139
01101,Chevillard,156
01102,Chevroux,964
01103,Chevry,1525
01104,Chézery-Forens,460
01105,Civrieux,1546
01106,Cize,171
01107,Cleyzieu,135
01108,Coligny,1193
01109,Collonges,2195
01110,Colomieu,130
01111,Conand,118
01112,Condamine,415
01113,Condeissiat,830
01114,Confort,591
01115,Confrançon,1329
01116,Contrevoz,503
01117,Conzieu,146
01118,Corbonod,1246
01121,Corlier,111
01122,Cormaranche-en-Bugey,803
01123,Cormoranche-sur-Saône,1103
01124,Cormoz,663
01125,Corveissiat,622
01127,Courmangoux,504
01128,Courtes,301
01129,Crans,267
01130,Cras-sur-Reyssouze,1431
01133,Cressin-Rochefort,389
01134,Crottet,1726
01135,Crozet,2115
01136,Cruzilles-lès-Mépillat,832
01138,Culoz,3071
01139,Curciat-Dongalon,446
01140,Curtafond,771
01141,Cuzieu,425
01142,Dagneux,4573
01143,Divonne-les-Bains,9286
01144,Dommartin,886
01145,Dompierre-sur-Veyle,1161
01146,Dompierre-sur-Chalaronne,429
01147,Domsure,480
01148,Dortan,1845
01149,Douvres,1058
01150,Drom,219
01151,Druillat,1149
01152,Échallon,762
01153,Échenevex,2212
