CODGEO,LIBGEO,POPULATION
01,L' Abergement-Clémenciat,767
01,L' Abergement-de-Varey,236
01,Ambérieu-en-Bugey,14359
01,Ambérieux-en-Dombes,1635
01,Ambléon,108
01,Ambronay,2503
01,Ambutrix,744
01,Andert-et-Condon,337
01,Anglefort,1108
01,Apremont,394
01,Aranc,314
01,Arandas,158
01,Arbent,3410
01,Arbignieu,495
01,Arbigny,427
01,Argis,422
01,Armix,21
01,Ars-sur-Formans,1387
01,Artemare,1175
01,Asnières-sur-Saône,69
01,Attignat,3260
01,Bâgé-la-Ville,3154
01,Bâgé-le-Châtel,855
01,Balan,2828
01,Baneins,573
01,Béard-Géovreissiat,999
01,Beaupont,677
01,Beauregard,876
01,Béligneux,3304
01,Bellegarde-sur-Valserine,11644
01,Belley,8909
01,Belleydoux,327
01,Bellignat,3646
01,Belmont-Luthézieu,526
01,Bénonces,276
01,Bény,718
01,Béon,457
01,Béréziat,470
01,Bettant,746
01,Bey,260
01,Beynost,4534
01,Billiat,578
01,Birieux,280
01,Biziat,824
01,Blyes,944
01,Bohas-Meyriat-Rignat,874
01,La Boisse,2927
01,Boissey,314
01,Bolozon,90
01,Bouligneux,304
01,Bourg-en-Bresse,40490
01,Bourg-Saint-Christophe,1258
01,Boyeux-Saint-Jérôme,365
01,Boz,508
01,Brégnier-Cordon,865
01,Brénaz,91
01,Brénod,550
01,Brens,1200
01,Bressolles,812
01,Brion,514
01,Briord,946
01,Buellas,1734
01,La Burbanche,72
01,Ceignes,262
01,Cerdon,749
01,Certines,1440
01,Cessy,4524
01,Ceyzériat,3039
01,Ceyzérieu,1005
01,Chalamont,2409
01,Chaleins,1199
01,Chaley,146
01,Challes-la-Montagne,181
01,Challex,1385
01,Champagne-en-Valromey,805
01,Champdor,452
01,Champfromier,713
01,Chanay,646
01,Chaneins,847
01,Chanoz-Châtenay,756
01,La Chapelle-du-Châtelard,375
01,Charix,284
01,Charnoz-sur-Ain,915
01,Château-Gaillard,1940
01,Châtenay,339
01,Châtillon-en-Michaille,3173
01,Châtillon-la-Palud,1573
01,Châtillon-sur-Chalaronne,4957
01,Chavannes-sur-Reyssouze,732
01,Chavannes-sur-Suran,641
01,Chaveyriat,975
01,Chavornay,217
01,Chazey-Bons,831
01,Chazey-sur-Ain,1544
01,Cheignieu-la-Balme,146
01,Chevillard,159
01,Chevroux,944
01,Chevry,1396
01,Chézery-Forens,461
01,Civrieux,1441
01,Cize,173
01,Cleyzieu,136
01,Coligny,1164
01,Collonges,2104
01,Colomieu,124
01,Conand,113
01,Condamine,417
01,Condeissiat,806
01,Confort,556
01,Confrançon,1321
01,Contrevoz,518
01,Conzieu,146
01,Corbonod,1219
01,Corcelles,227
01,Corlier,116
01,Cormaranche-en-Bugey,801
01,Cormoranche-sur-Saône,1070
01,Cormoz,668
01,Corveissiat,617
01,Courmangoux,507
01,Courtes,282
01,Crans,264
01,Cras-sur-Reyssouze,1388
01,Cressin-Rochefort,380
01,Crottet,1717
01,Crozet,2015
01,Cruzilles-lès-Mépillat,831
01,Culoz,2986
01,Curciat-Dongalon,454
01,Curtafond,721
01,Cuzieu,404
01,Dagneux,4308
01,Divonne-les-Bains,8762
01,Dommartin,882
01,Dompierre-sur-Chalaronne,402
01,Dompierre-sur-Veyle,1175
01,Domsure,477
01,Dortan,1855
01,Douvres,1015
01,Drom,218
01,Druillat,1151
01,Échallon,765
01,Échenevex,1904
01,Étrez,793
01,Évosges,144
01,Faramans,772
01,Fareins,2199
01,Farges,946
01,Feillens,3186
01,Ferney-Voltaire,9236
01,Flaxieu,65
01,Foissiat,2005
