Numéro d'école;Latitude;Longitude;
0240807X;45.424362;0.8631506;Saint-Romain-et-Saint-Clément, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24800, France
0240920V;45.1970172;0.7835042;Trélissac, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France
0240955H;44.8534568;0.487531;Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24100, France
0240990W;44.8704188;0.3742764;La Force, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24130, France
0241013W;44.8456284;0.9082579;Le Buisson-de-Cadouin, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24480, France
0241115G;45.5705556;0.5613889;Javerlhac-et-la-Chapelle-Saint-Robert, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24300, France
0241123R;45.29233;0.74936;Agonac, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24460, France
0241133B;44.74607125;0.975186732678294;Belvès, Pays-de-Belvès, Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24170, France
0250343M;47.2362653;6.647865;Chamesey, Pontarlier, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25380, France
0250395U;47.2574922;6.7027625;Cour-Saint-Maurice, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25380, France
0020894L;49.0614202;3.5731984;Passy-sur-Marne, Château-Thierry, Aisne, Hauts-de-France, France métropolitaine, 02850, France
0020944R;49.0904983;3.5358892;Jaulgonne, Château-Thierry, Aisne, Hauts-de-France, France métropolitaine, 02850, France
0021699L;49.8486111;3.2863888;Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02100, France
0140210C;49.2482981;-1.0452622;Lison, Bayeux, Calvados, Normandie, France métropolitaine, 14330, France
0250935F;47.2785585;6.7352213;Vauclusotte, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25380, France
0260138J;44.5159006;5.2154189;Bouvières, Nyons, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26460, France
0260659A;44.9332277;4.8920811;Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26000, France
0511234P;48.9894458;4.3154379;Recy, Châlons-en-Champagne, Marne, Grand Est, France métropolitaine, 51520, France
0511831N;49.3284469;3.9453038;Villers-Franqueux, Reims, Marne, Grand Est, France métropolitaine, 51220, France
0512106M;49.0279127;4.2372528;Vraux, Châlons-en-Champagne, Marne, Grand Est, France métropolitaine, 51150, France
0520103E;48.4426265;5.1412535;Joinville, Saint-Dizier, Haute-Marne, Grand Est, France métropolitaine, 52300, France
0520609E;48.1435047;5.1444736;Condes, Chaumont, Haute-Marne, Grand Est, France métropolitaine, 52000, France
0520909F;48.2952568;5.2464882093597;Roches-Bettaincourt, Saint-Dizier, Haute-Marne, Grand Est, France métropolitaine, 52270, France
0221482S;48.28993035;-2.52601251185113;Collinée, Le Mené, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22330, France
0221602X;48.6787936;-3.5231644;Ploumilliau, Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22300, France
0240271P;45.1909365;0.7184407;Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24000, France
0240304A;44.8534568;0.487531;Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24100, France
0240334H;44.64023;1.03398;Saint-Cernin-de-l'Herm, Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24550, France
0240383L;44.90528;0.54942;Queyssac, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24140, France
0240402G;45.4287117;0.7046508;Quinsac, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24530, France
0240403H;45.32447;0.77998;Saint-Front-d'Alemps, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24460, France
0140379L;49.1828008;-0.3690815;Caen, Calvados, Normandie, France métropolitaine, 14000, France
0140421G;49.1828008;-0.3690815;Caen, Calvados, Normandie, France métropolitaine, 14000, France
0140643Y;48.8964741;-0.1999129;Falaise, Caen, Calvados, Normandie, France métropolitaine, 14700, France
0140676J;48.8784406;-0.160385;La Hoguette, Caen, Calvados, Normandie, France métropolitaine, 14700, France
0141377W;48.84902185;-0.565216636395482;Condé-sur-Noireau, Condé-en-Normandie, Vire, Calvados, Normandie, France métropolitaine, 14110, France
0141563Y;49.1828008;-0.3690815;Caen, Calvados, Normandie, France métropolitaine, 14000, France
0141691M;49.2764624;-0.7024738;Bayeux, Calvados, Normandie, France métropolitaine, 14400, France
0142016R;49.1129522;-0.4724922;Esquay-Notre-Dame, Caen, Calvados, Normandie, France métropolitaine, 14210, France
0312623H;43.6044622;1.4442469;Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France
0320247V;43.9218218;0.8012234;Saint-Créac, Condom, Gers, Occitanie, France métropolitaine, 32380, France
0320453U;43.6397222;-0.0222222;Cahuzac-sur-Adour, Mirande, Gers, Occitanie, France métropolitaine, 32400, France
0320464F;43.9752122;0.6099933;Castéra-Lectourois, Condom, Gers, Occitanie, France métropolitaine, 32700, France
0240584E;45.1724869;0.765034783995843;Boulazac, Boulazac Isle Manoire, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France
0240632G;45.3583333;0.3394444;Saint-Martial-Viveyrol, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24320, France
0240682L;44.8456284;0.9082579;Le Buisson-de-Cadouin, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24480, France
0240716Y;44.8320108;1.3100538;Veyrignac, Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24370, France
0241117J;45.1382681;0.752132860790254;Atur, Boulazac Isle Manoire, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France
0250495C;47.1683558;6.8263552;Fournet-Blancheroche, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25140, France
