2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;yes;no;BORDEAUX;Pomerede;Ecole primaire de Saint-Romain-et-Saint-Clément;;24800.0;Saint-Romain-et-Saint-Clément;;;;;;20.0;17.0;;0240807X;;PUBLIC;75;Nouvelle-Aquitaine;328;1;1;1
yes;no;no;BORDEAUX;4 rue des Charmilles;Ecole élémentaire Les Maurilloux;;24750.0;Trélissac;;;;;;145.0;;;0240920V;;PUBLIC;75;Nouvelle-Aquitaine;6836;0;0;1
yes;yes;no;BORDEAUX;Rue Aristide Briand;Ecole R.Desmaison;;24100.0;Bergerac;;;;;;151.0;180.0;;0240955H;;PUBLIC;75;Nouvelle-Aquitaine;28063;0;0;0
yes;no;no;BORDEAUX;6 rue André Rousseau;Ecole élémentaire de la Force;;24130.0;La Force;;;;;;169.0;;;0240990W;;PUBLIC;75;Nouvelle-Aquitaine;2568;0;0;1
yes;yes;no;BORDEAUX;4 place de l'Eglise;Ecole maternelle du Buisson-de-Cadouin;;24480.0;Le Buisson-de-Cadouin;;;;;;49.0;49.0;;0241013W;;PUBLIC;75;Nouvelle-Aquitaine;2073;0;0;1
yes;no;no;BORDEAUX;Route d'Angouleme;Ecole maternelle de Javerlhac-et-la-Chapelle-Saint-Robert;;24300.0;Javerlhac-et-la-Chapelle-Saint-Robert;;;;;;19.0;;;0241115G;;PUBLIC;75;Nouvelle-Aquitaine;876;0;1;1
yes;no;no;BORDEAUX;Rue Almunia de San Jan;Ecole maternelle d'Agonac;;24460.0;Agonac;;;;;;66.0;;;0241123R;;PUBLIC;75;Nouvelle-Aquitaine;1718;0;1;1
yes;no;no;BORDEAUX;Place Liberté;Ecole maternelle de Belvès;;24170.0;Belvès;;;;;;69.0;;;0241133B;;PUBLIC;75;Nouvelle-Aquitaine;1383;0;1;1
yes;yes;no;BESANCON;3 rue de l'Eglise;Ecole intercommunale;;25380.0;Chamesey;;;;;;67.0;63.0;;0250343M;;PUBLIC;27;Bourgogne-et-Franche-Comté;119;1;1;1
yes;no;no;BESANCON;Route Nationale;Ecole élémentaire de Cour-Saint-Maurice;;25380.0;Cour-Saint-Maurice;;;;;;12.0;;;0250395U;;PUBLIC;27;Bourgogne-et-Franche-Comté;167;1;1;1
yes;yes;no;AMIENS;11 rue de Champagne;Ecole élémentaire de Passy-sur-Marne;;2850.0;Passy-sur-Marne;;;;;;25.0;20.0;;0020894L;;PUBLIC;32;Hauts-de-France;146;1;1;1
yes;yes;no;AMIENS;9 rue du Châtelet;Ecole élémentaire de Jaulgonne;;2850.0;Jaulgonne;;;;;;28.0;45.0;;0020944R;;PUBLIC;32;Hauts-de-France;654;0;1;1
yes;yes;no;AMIENS;Rue de l'église;Ecole Jacques Prévert;;2100.0;Saint-Quentin;;;;;;69.0;67.0;;0021699L;;PUBLIC;32;Hauts-de-France;55698;0;0;0
yes;yes;no;CAEN;Le bourg;Ecole maternelle de Lison;;14330.0;Lison;;;;;;41.0;39.0;;0140210C;;PUBLIC;28;Normandie;458;1;1;1
yes;yes;no;BESANCON;Le village;Ecole de Vauclusotte;;25380.0;Vauclusotte;;;;;;11.0;11.0;;0250935F;;PUBLIC;27;Bourgogne-et-Franche-Comté;98;1;1;1
yes;no;no;GRENOBLE;Le village;Ecole de Bouvières;;26460.0;Bouvières;;;;;;9.0;;;0260138J;;PUBLIC;84;Auvergne-et-Rhône-Alpes;139;1;1;1
yes;no;no;GRENOBLE;29 rue Albert Thomas;Ecole maternelle Jules Ferry;;26000.0;Valence;;;;;;78.0;;;0260659A;;PUBLIC;84;Auvergne-et-Rhône-Alpes;61767;0;0;0
yes;no;no;REIMS;Place de la Mairie;Ecole maternelle de Recy;;51520.0;Recy;;;;;;44.0;;;0511234P;;PUBLIC;44;Grand-Est;1047;0;1;1
yes;yes;no;REIMS;1 Grande rue;Ecole maternelle de Villers-Franqueux;;51220.0;Villers-Franqueux;;;;;;22.0;20.0;;0511831N;;PUBLIC;44;Grand-Est;302;1;1;1
yes;no;no;REIMS;Rue Basse;Ecole maternelle Les Carrières;;51150.0;Vraux;;;;;;38.0;;;0512106M;;PUBLIC;44;Grand-Est;480;1;1;1
yes;yes;no;REIMS;Rue Jules Ferry;Ecole maternelle Mermoz;;52300.0;Joinville;;;;;;53.0;58.0;;0520103E;;PUBLIC;44;Grand-Est;3443;0;0;1
yes;no;no;REIMS;3 rue de la Montagné;Ecole primaire de Condes;;52000.0;Condes;;;;;;16.0;;;0520609E;;PUBLIC;44;Grand-Est;312;1;1;1
yes;yes;no;REIMS;Avenue de Verdun;Ecole de Roches-Bettaincourt;;52270.0;Roches-Bettaincourt;Haute-Marne;;48.16511;;5.34693;28.0;21.0;;0520909F;;PUBLIC;44;Grand-Est;621;0;1;1
yes;no;no;REIMS;77 rue de Verdun;École élémentaire;52.0;52800.0;Nogent;Haute-Marne;;48.02438;;5.33576;62.0;;;0521077N;;PUBLIC;44;Grand-Est;3895;0;0;1
yes;no;no;RENNES;Rue Pierre Gineste;Ecole primaire Pierre Gineste;;22330.0;Collinée;;;;;;103.0;;;0221482S;;PUBLIC;53;Bretagne;921;0;1;1
yes;yes;no;RENNES;23 rue des écoles;Ecole maternelle de Ploumilliau;;22300.0;Ploumilliau;;;;;;68.0;61.0;;0221602X;;PUBLIC;53;Bretagne;2496;0;0;1
yes;no;no;BORDEAUX;74 boulevard Ampère;Ecole élémentaire d'application Clos Chassaing;;24000.0;Périgueux;;;;;;192.0;;;0240271P;;PUBLIC;75;Nouvelle-Aquitaine;30036;0;0;0
yes;no;no;BORDEAUX;19 rue Emile Zola;Ecole maternelle Alba;;24100.0;Bergerac;;;;;;64.0;;;0240304A;;PUBLIC;75;Nouvelle-Aquitaine;28063;0;0;0
yes;no;no;BORDEAUX;Le bourg;Ecole élémentaire de Saint-Cernin-de-l'Herm;;24550.0;Saint-Cernin-de-l'Herm;;;;;;18.0;;;0240334H;;PUBLIC;75;Nouvelle-Aquitaine;231;1;1;1
yes;yes;no;BORDEAUX;Le bourg;Ecole maternelle de Queyssac;;24140.0;Queyssac;;;;;;20.0;18.0;;0240383L;;PUBLIC;75;Nouvelle-Aquitaine;458;1;1;1
yes;yes;no;BORDEAUX;Le bourg;Ecole élémentaire de Quinsac;;24530.0;Quinsac;;;;;;27.0;23.0;;0240402G;;PUBLIC;75;Nouvelle-Aquitaine;388;1;1;1
yes;no;no;BORDEAUX;Le bourg;Ecole de Saint-Front-d'Alemps;;24460.0;Saint-Front-d'Alemps;;;;;;20.0;;;0240403H;;PUBLIC;75;Nouvelle-Aquitaine;262;1;1;1
yes;yes;no;CAEN;23 rue Bosnières;Ecole maternelle Bosnières;;14000.0;Caen;;;;;;112.0;101.0;;0140379L;;PUBLIC;28;Normandie;107229;0;0;0
yes;no;no;CAEN;65 avenue de la Libération;Ecole maternelle Pigacière;;14000.0;Caen;;;;;;72.0;;;0140421G;;PUBLIC;28;Normandie;107229;0;0;0
yes;yes;no;CAEN;4 rue du Maréchal Foch;Ecole maternelle Maréchal Foch;;14700.0;Falaise;;;;;;37.0;41.0;;0140643Y;;PUBLIC;28;Normandie;8343;0;0;1
yes;yes;no;CAEN;Le bourg;Ecole élémentaire Les Roches-Feuilles;;14700.0;La Hoguette;;;;;;77.0;76.0;;0140676J;;PUBLIC;28;Normandie;714;0;1;1
yes;no;no;CAEN;6 rue Neuve;Ecole élémentaire la Varende;;14110.0;Condé-sur-Noireau;;;;;;106.0;;;0141377W;;PUBLIC;28;Normandie;5244;0;0;1
yes;no;no;CAEN;9 ter rue de la Haie Vigne;Ecole maternelle Haie Vigne;;14000.0;Caen;;;;;;66.0;;;0141563Y;;PUBLIC;28;Normandie;107229;0;0;0
yes;yes;no;CAEN;Rue de Beauvais;Ecole maternelle Argouges;;14400.0;Bayeux;;;;;;82.0;84.0;;0141691M;;PUBLIC;28;Normandie;13888;0;0;0
yes;yes;no;CAEN;Le bourg;Ecole maternelle d'Esquay-Notre-Dame;;14210.0;Esquay-Notre-Dame;;;;;;61.0;58.0;;0142016R;;PUBLIC;28;Normandie;1438;0;1;1
yes;no;no;TOULOUSE;7 rue Xavier Darasse;Ecole maternelle Limayrac Jérôme Pugens;;31500.0;Toulouse;;;;;;36.0;;;0312623H;;PUBLIC;76;Occitanie;458298;0;0;0
