no,yes,closed_share
18,288,0.058823529411764705
6,229,0.02553191489361702
1,163,0.006097560975609756
6,496,0.01195219123505976
8,183,0.041884816753926704
84,6336,0.013084112149532711
54,2028,0.025936599423631124
125,2795,0.04280821917808219
121,2566,0.04503163379233346
131,4798,0.02657739906674782
192,4587,0.040175768989328314
23,1928,0.011788826242952332
51,1490,0.03309539260220636
152,4596,0.03201347935973041
113,4273,0.025763793889648882
113,5491,0.020164168451106353
15,2896,0.005152868430092752
2,248,0.008
